,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
758,6152,百一,"175,358",70,"1,578,418",8.96,9.06,8.96,9.05,-,0.01,9.05,4,9.10,2,0.00,
766,6176,瑞儀,"1,860,141","1,009","137,286,954",73.10,74.20,72.80,74.00,+,0.6,73.80,11,74.00,166,10.26,
767,6177,達麗,"120,973",64,"4,011,099",33.05,33.40,33.00,33.40,+,0.1,33.30,6,33.40,4,8.43,
770,6189,豐藝,"178,533",120,"5,175,357",29.05,29.05,28.95,29.00,-,0.05,29.00,4,29.10,17,13.24,
771,6191,精成科,"913,951",377,"11,570,225",12.75,12.75,12.60,12.65,-,0.1,12.60,185,12.65,8,14.71,
772,6192,巨路,"39,003",41,"2,248,570",57.60,57.90,57.60,57.90,+,0.1,57.70,1,58.00,1,12.53,
773,6196,帆宣,"1,001,185",530,"40,267,503",40.25,40.55,40.00,40.20,-,0.45,40.20,43,40.25,10,11.93,
774,6197,佳必琪,"116,727",109,"3,518,960",30.25,30.25,30.05,30.10,-,0.3,30.10,18,30.20,9,9.65,
775,6201,亞弘電,"52,000",36,"1,541,950",29.70,29.75,29.50,29.65,-,0.05,29.65,1,29.75,2,13.30,
777,6205,詮欣,"121,000",63,"3,578,100",29.60,29.75,29.50,29.60,-,0.2,29.60,3,29.70,1,12.33,
779,6209,今國光,"2,158,051","1,260","80,882,861",37.55,37.95,37.05,37.50,-,0.05,37.50,22,37.55,33,0.00,
781,6214,精誠,"316,471",239,"18,897,064",59.70,60.00,59.30,59.90,+,0.1,59.80,18,60.00,278,13.71,
783,6216,居易,"93,551",57,"2,715,341",29.05,29.15,28.80,29.00,-,0.1,29.00,11,29.10,1,12.45,
784,6224,聚鼎,"231,509",96,"12,941,255",55.70,56.00,55.50,56.00,+,0.5,56.00,4,56.20,3,13.30,
785,6225,天瀚,"14,326",8,"42,432",2.95,2.99,2.75,2.99,+,0.04,2.77,2,3.08,2,0.00,
786,6226,光鼎,"407,866",161,"4,270,301",10.45,10.60,10.30,10.45,-,0.05,10.45,18,10.50,4,14.51,
787,6230,超眾,"440,120",344,"43,211,500",98.10,99.50,96.10,99.40,+,0.8,99.40,5,99.50,5,12.98,
788,6235,華孚,"1,360,369",526,"25,970,511",19.40,19.40,18.90,19.00,-,0.4,19.00,37,19.05,21,2.54,
789,6239,力成,"9,396,411","5,152","889,783,940",93.00,95.90,93.00,94.80,+,2.6,94.80,60,95.00,1,13.09,
790,6243,迅杰,"181,345",120,"3,314,393",18.10,18.45,18.10,18.25,-,0.05,18.25,2,18.30,4,0.00,
793,6269,台郡,"13,067,300","6,760","1,460,007,400",111.00,113.50,110.00,111.00,-,4.5,110.50,424,111.00,70,12.73,
796,6278,台表科,"834,269",618,"25,279,884",30.50,30.50,30.00,30.45,-,0.25,30.45,16,30.50,11,12.48,
797,6281,全國電,"23,120",20,"1,458,360",63.00,63.40,62.70,63.30,+,0.3,63.00,4,63.40,15,14.04,
800,6285,啟碁,"984,700",700,"85,270,653",85.80,87.30,85.70,86.80,+,1.0,86.80,2,86.90,1,14.66,
801,6289,華上,"118,000",20,"268,370",2.30,2.30,2.25,2.25,-,0.1,2.23,10,2.25,16,0.00,
804,6412,群電,"514,010",224,"30,151,286",58.50,59.00,58.40,59.00,,0.0,59.00,34,59.10,3,11.32,
807,6422,君耀-KY,"254,556",166,"16,933,218",66.40,67.30,66.20,66.80,-,0.2,66.80,23,66.90,2,12.35,
808,6431,光麗-KY,"159,000",75,"2,433,300",15.30,15.55,15.20,15.35,,0.0,15.25,2,15.35,8,0.00,
810,6443,元晶,"2,477,896",902,"24,307,993",9.95,9.95,9.72,9.79,-,0.17,9.79,22,9.80,1,0.00,
814,6456,GIS-KY,"9,526,728","6,486","2,044,599,976",212.50,217.50,210.00,217.00,+,3.0,216.50,22,217.00,112,11.22,
818,6505,台塑化,"3,432,323","1,761","423,830,384",122.50,127.00,120.50,124.00,,0.0,124.00,107,125.00,33,14.81,
819,6525,捷敏-KY,"800,117",617,"67,655,745",84.10,85.90,83.60,84.30,-,0.5,84.30,4,84.50,1,14.87,
822,6541,泰福-KY,"504,952",358,"43,610,446",84.90,87.70,84.20,87.00,+,1.4,87.00,10,87.20,2,0.00,
827,6582,申豐,"27,000",20,"1,357,900",50.30,50.50,50.20,50.30,,0.0,50.20,14,50.60,2,11.38,
829,6605,帝寶,"379,056",304,"34,686,146",90.60,92.70,89.60,91.40,+,1.4,91.20,2,91.40,1,12.47,
831,8016,矽創,"1,011,021",739,"88,139,308",86.10,88.70,86.10,86.90,+,0.7,86.80,2,86.90,10,11.56,
832,8021,尖點,"408,221",241,"8,518,366",20.85,21.10,20.70,20.90,,0.0,20.90,5,21.00,15,13.31,
833,8033,雷虎,"659,151",268,"8,742,504",13.20,13.55,13.00,13.35,,0.0,13.35,126,13.40,10,0.00,
834,8039,台虹,"3,838,464","2,158","203,539,112",52.30,53.70,52.00,53.10,+,1.1,53.00,14,53.10,1,14.51,
835,8046,南電,"893,228",331,"23,439,221",26.30,26.40,26.10,26.20,-,0.25,26.20,57,26.30,1,0.00,
836,8070,長華,"167,210",138,"24,296,870",145.50,147.00,144.00,146.00,-,0.5,146.00,21,147.00,7,10.67,
