,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
98,1474,弘裕,"209,000",55,"2,379,950",11.55,11.55,11.25,11.45,-,0.15,11.40,27,11.45,13,13.31,
99,1475,本盟,"15,104",21,"683,430",45.25,45.30,45.20,45.25,-,0.05,45.20,11,45.35,1,0.00,
106,1512,瑞利,"147,010",45,"1,629,904",11.10,11.25,11.00,11.05,-,0.05,11.05,13,11.10,3,0.00,
111,1517,利奇,"598,095",182,"6,853,190",11.55,11.60,11.35,11.50,-,0.1,11.45,1,11.50,4,0.00,
113,1521,大億,"60,001",49,"4,684,278",78.10,78.20,78.00,78.20,-,0.2,78.10,8,78.30,4,11.25,
114,1522,堤維西,"600,403",411,"19,314,333",32.10,32.35,31.90,32.15,+,0.05,32.15,3,32.20,3,11.56,
115,1524,耿鼎,"315,490",122,"3,637,434",11.60,11.60,11.45,11.55,-,0.05,11.55,22,11.60,28,10.90,
116,1525,江申,"41,500",30,"3,719,849",88.70,90.10,88.60,89.80,+,0.2,89.50,1,90.10,1,11.85,
120,1529,樂士,"205,301",25,"832,612",4.05,4.10,4.00,4.10,+,0.08,4.10,7,4.15,3,0.00,
127,1537,廣隆,"326,132",265,"46,329,640",142.50,143.00,141.50,142.50,-,0.5,142.50,3,143.00,21,12.48,
128,1538,正峰新,"65,768",146,"364,154",5.61,5.61,5.51,5.58,-,0.03,5.52,1,5.58,7,0.00,
129,1539,巨庭,"210,009",121,"3,805,514",18.40,18.40,18.00,18.10,-,0.35,18.10,17,18.20,2,9.00,
132,1558,伸興,"39,598",43,"5,097,142",129.00,129.50,128.00,128.50,-,0.5,128.00,39,129.00,29,12.09,
135,1582,信錦,"773,044",493,"48,740,293",63.40,63.40,62.60,63.40,,0.0,63.00,2,63.40,13,10.67,
139,1592,英瑞-KY,"83,000",54,"2,719,200",33.00,33.00,32.60,32.75,-,0.25,32.75,1,33.00,15,11.10,
142,1604,聲寶,"617,692",293,"8,204,798",13.30,13.40,13.15,13.35,+,0.05,13.35,33,13.40,38,14.05,
143,1605,華新,"7,492,364","2,274","124,644,989",16.60,16.75,16.45,16.75,+,0.05,16.70,23,16.75,321,8.96,
144,1608,華榮,"1,758,258",450,"19,920,325",11.30,11.45,11.25,11.40,,0.0,11.35,76,11.40,65,13.90,
146,1611,中電,"1,282,008",401,"13,225,130",10.05,10.45,10.05,10.40,+,0.35,10.40,75,10.45,155,0.00,
149,1615,大山,"123,000",76,"1,869,950",15.25,15.35,15.10,15.25,-,0.1,15.25,14,15.35,6,11.55,
150,1616,億泰,"75,000",27,"420,220",5.63,5.63,5.58,5.59,-,0.04,5.59,3,5.60,41,0.00,
151,1617,榮星,"114,039",48,"1,661,521",14.55,14.80,14.40,14.70,,0.0,14.65,2,14.70,12,14.00,
155,1702,南僑,"465,648",281,"28,664,894",61.30,62.10,60.90,61.90,+,0.6,61.90,3,62.10,6,14.99,
156,1704,榮化,"1,515,064",862,"68,249,129",45.05,45.35,44.75,45.15,-,0.15,45.15,37,45.20,2,9.77,
158,1708,東鹼,"2,120,569","1,285","67,089,513",31.25,31.85,31.25,31.70,+,0.6,31.65,25,31.70,27,10.16,
159,1709,和益,"219,088",109,"3,975,465",18.20,18.20,18.10,18.20,,0.0,18.10,49,18.20,72,12.13,
162,1712,興農,"1,406,551",520,"23,650,699",16.90,16.90,16.75,16.80,-,0.1,16.80,124,16.85,29,10.43,
172,1725,元禎,"31,000",17,"467,250",15.05,15.15,15.00,15.10,-,0.15,15.10,11,15.25,2,11.80,
175,1730,花仙子,"44,501",27,"1,819,241",40.75,41.00,40.75,40.90,-,0.05,40.90,3,40.95,1,12.94,
177,1732,毛寶,"22,000",17,"276,100",12.50,12.60,12.50,12.60,-,0.05,12.55,7,12.60,2,0.00,
178,1733,五鼎,"326,001",258,"10,284,432",31.80,31.80,31.45,31.55,-,0.25,31.50,47,31.60,1,0.00,
191,1805,寶徠,"73,115",27,"930,210",12.70,12.85,12.60,12.85,+,0.15,12.85,2,12.90,26,0.00,
192,1806,冠軍,"826,765",176,"7,074,712",8.56,8.65,8.51,8.53,-,0.15,8.53,14,8.59,2,0.00,
196,1817,凱撒衛,"125,000",78,"5,326,100",42.10,43.25,42.10,43.20,+,0.9,43.15,1,43.20,2,12.00,
197,1902,台紙,"460,464",239,"8,795,316",19.35,19.35,19.05,19.10,-,0.25,19.05,10,19.10,33,0.00,
198,1903,士紙,"127,367",65,"4,683,169",36.20,37.00,36.20,36.50,-,0.2,36.50,3,36.80,5,0.00,
199,1904,正隆,"2,706,317","1,054","43,019,972",16.00,16.10,15.80,15.90,-,0.2,15.90,123,15.95,54,13.95,
201,1906,寶隆,"161,871",89,"4,542,543",28.00,28.30,27.95,28.10,-,0.05,28.10,1,28.15,1,3.39,
202,1907,永豐餘,"6,650,522","1,824","91,115,662",13.50,13.95,13.50,13.60,+,0.1,13.60,156,13.65,4,14.78,
203,1909,榮成,"5,427,689","2,194","181,902,492",33.95,34.00,33.00,33.40,-,0.5,33.40,96,33.45,37,8.56,
205,2002A,中鋼特,"51,000",24,"2,156,100",42.35,42.40,42.20,42.40,+,0.05,42.35,2,42.40,1,0.00,
207,2007,燁興,"145,729",58,"850,913",5.84,5.88,5.72,5.86,+,0.02,5.85,1,5.86,3,0.00,
208,2008,高興昌,"68,050",14,"865,985",12.80,12.85,12.70,12.70,,0.0,12.70,15,12.80,4,0.00,
213,2014,中鴻,"14,331,175","3,718","184,010,246",12.75,13.25,12.50,12.95,-,0.1,12.95,209,13.00,27,10.04,
215,2017,官田鋼,"3,256,311",825,"36,560,702",11.00,11.45,10.85,11.40,+,0.4,11.35,9,11.40,249,13.10,
216,2020,美亞,"228,223",51,"3,220,572",14.10,14.15,14.05,14.15,-,0.05,14.05,59,14.15,133,9.43,
217,2022,聚亨,"1,098,204",285,"7,365,288",6.70,6.81,6.60,6.79,+,0.03,6.78,12,6.79,5,0.00,
218,2023,燁輝,"2,486,458",822,"28,655,229",11.50,11.65,11.45,11.55,-,0.05,11.55,550,11.60,28,10.60,
219,2024,志聯,"1,055,236",362,"11,124,976",10.55,10.80,10.35,10.60,+,0.1,10.60,4,10.65,19,8.91,
222,2028,威致,"207,397",70,"1,969,587",9.50,9.58,9.43,9.56,-,0.04,9.44,10,9.54,3,6.17,
223,2029,盛餘,"271,002",178,"7,549,956",28.15,28.15,27.60,28.00,-,0.15,28.00,30,28.10,10,9.09,
224,2030,彰源,"2,481,256",721,"40,964,182",16.30,16.95,16.00,16.85,+,0.3,16.80,71,16.85,27,8.92,
225,2031,新光鋼,"10,179,850","4,114","310,534,200",29.10,31.40,28.80,31.00,+,1.4,30.95,13,31.00,424,10.30,
228,2034,允強,"867,048",520,"22,971,370",26.35,26.80,26.25,26.70,+,0.1,26.70,5,26.75,5,11.97,
232,2062,橋椿,"154,079",116,"5,452,594",35.50,35.65,35.25,35.65,+,0.05,35.65,9,35.70,4,14.38,
235,2102,泰豐,"508,708",179,"6,828,427",13.45,13.50,13.35,13.45,-,0.05,13.45,17,13.50,10,0.00,
237,2104,國際中橡,"2,467,125","1,167","120,158,475",48.75,49.15,48.20,49.15,,0.0,49.10,1,49.15,244,13.11,
242,2109,華豐,"867,397",332,"13,036,655",14.90,15.15,14.90,15.00,+,0.1,15.00,19,15.15,64,0.00,
244,2115,六暉-KY,"592,433",410,"28,455,234",47.20,48.65,46.85,46.85,-,0.75,46.85,1,46.90,2,12.59,
246,2204,中華,"736,944",542,"19,603,106",26.50,26.75,26.45,26.65,+,0.1,26.60,3,26.70,6,10.21,
249,2208,台船,"1,844,682",619,"25,943,575",13.85,14.40,13.70,14.30,+,0.35,14.20,2,14.30,30,0.00,
250,2227,裕日車,"90,390",91,"23,861,543",262.00,265.00,261.00,264.50,+,1.0,264.50,4,265.00,2,12.68,
255,2243,宏旭-KY,"12,003",10,"471,118",39.20,39.70,39.20,39.30,+,0.1,39.30,3,39.65,2,13.55,
257,2302,麗正,"266,321",97,"1,641,467",6.23,6.23,6.14,6.14,-,0.06,6.14,8,6.18,4,0.00,
259,2305,全友,"3,523,409","1,159","38,578,814",11.05,11.15,10.70,11.15,-,0.1,11.05,77,11.15,18,3.74,
261,2311,日月光,"12,904,692","4,196","532,120,219",41.60,41.60,40.80,41.40,-,0.4,41.35,51,41.40,"1,326",14.18,
263,2313,華通,"18,038,454","8,875","651,297,069",36.60,36.65,35.75,36.20,-,0.95,36.20,134,36.25,16,13.51,
266,2317,鴻海,"56,868,154","25,346","5,261,949,172",92.10,93.00,92.10,92.20,-,1.4,92.20,"1,434",92.30,14,11.76,
267,2321,東訊,"141,800",25,"430,935",3.02,3.04,3.02,3.04,-,0.05,3.04,3,3.07,4,0.00,
268,2323,中環,"24,415,568","3,899","118,370,419",4.72,4.94,4.71,4.86,+,0.03,4.86,107,4.87,33,0.00,
273,2329,華泰,"1,233,508",362,"11,215,941",9.13,9.13,9.06,9.08,-,0.09,9.08,53,9.11,2,0.00,
275,2331,精英,"733,579",370,"13,659,264",18.55,18.70,18.50,18.70,,0.0,18.65,43,18.70,21,14.50,
276,2332,友訊,"13,267,147","3,854","171,820,361",12.75,13.10,12.60,13.05,+,0.4,13.05,4,13.10,"1,092",0.00,
278,2338,光罩,"1,043,245",453,"19,836,913",19.25,19.25,18.50,19.15,-,0.15,19.15,3,19.20,54,0.00,
279,2340,光磊,"3,445,595","1,302","77,735,477",22.70,22.85,22.05,22.70,-,0.15,22.70,45,22.75,20,13.93,
280,2342,茂矽,"344,375",260,"8,032,225",22.95,23.80,22.90,22.90,-,0.3,22.90,9,23.00,35,0.00,
283,2347,聯強,"3,473,107","1,682","142,710,075",40.75,41.80,40.40,41.25,+,0.4,41.25,62,41.40,33,12.13,
285,2349,錸德,"23,465,514","3,735","130,697,250",5.38,5.79,5.31,5.60,+,0.06,5.59,82,5.60,55,0.00,
287,2352,佳世達,"6,437,522","1,734","136,987,603",21.30,21.40,21.20,21.25,-,0.2,21.25,462,21.30,45,7.64,
288,2353,宏碁,"84,531,719","21,407","2,343,660,808",27.00,28.10,27.00,27.65,+,0.35,27.60,128,27.65,60,0.00,
290,2355,敬鵬,"1,565,362",629,"84,892,989",54.20,55.00,53.60,54.20,,0.0,54.20,16,54.40,2,11.20,
291,2356,英業達,"8,453,210","4,308","199,719,585",23.40,23.80,23.40,23.80,+,0.25,23.70,14,23.80,103,12.73,
292,2357,華碩,"3,124,648",702,"878,137,404",280.00,282.00,280.00,281.00,-,1.0,280.50,6,281.00,7,12.70,
293,2358,廷鑫,"942,136",484,"22,898,768",24.60,24.70,23.85,24.60,-,0.8,24.50,2,24.60,7,0.00,
297,2363,矽統,"17,735,491","3,997","180,344,060",10.20,10.35,10.00,10.10,-,0.3,10.10,129,10.15,51,0.00,
298,2364,倫飛,"34,312",20,"82,859",2.48,2.48,2.39,2.42,+,0.02,2.39,22,2.42,7,0.00,
299,2365,昆盈,"1,417,223",532,"15,395,573",11.00,11.00,10.80,10.90,-,0.2,10.80,50,10.90,34,0.00,
301,2368,金像電,"1,538,140",358,"15,837,175",10.30,10.35,10.25,10.25,-,0.15,10.25,278,10.35,240,0.00,
304,2373,震旦行,"115,185",91,"10,116,966",87.70,88.20,87.40,87.70,-,0.4,87.70,17,87.80,1,13.92,
310,2380,虹光,"382,040",107,"2,691,050",7.04,7.18,7.00,7.01,-,0.03,7.01,7,7.05,11,0.00,
312,2383,台光電,"1,165,019",961,"118,781,999",102.00,102.50,101.00,102.50,-,0.5,102.50,8,103.00,90,10.86,
313,2385,群光,"586,115",452,"44,955,107",76.00,77.00,75.80,76.80,+,0.1,76.60,18,76.80,5,12.67,
314,2387,精元,"179,061",113,"3,103,555",17.30,17.40,17.25,17.35,-,0.15,17.35,3,17.40,8,8.85,
316,2390,云辰,"206,413",92,"2,516,866",12.15,12.35,12.10,12.20,-,0.05,12.20,21,12.25,1,0.00,
317,2392,正崴,"1,379,178",925,"63,416,188",46.65,46.65,45.80,45.95,-,0.8,45.95,11,46.00,3,14.45,
318,2393,億光,"4,050,066","2,208","185,827,416",45.50,46.15,45.45,45.80,+,0.65,45.80,93,45.85,5,14.14,
320,2397,友通,"16,010",16,"939,585",58.60,58.90,57.90,58.90,+,0.3,58.70,1,59.00,1,14.54,
323,2402,毅嘉,"466,460",285,"7,653,742",16.50,16.50,16.20,16.50,-,0.1,16.50,41,16.55,2,0.00,
324,2404,漢唐,"297,284",224,"17,670,968",59.30,60.00,59.20,59.30,-,0.4,59.30,24,59.70,8,10.21,
325,2405,浩鑫,"27,020,208","9,730","589,615,151",21.35,22.35,21.15,21.65,+,0.05,21.65,280,21.70,3,0.00,
326,2406,國碩,"811,439",294,"12,861,300",15.90,15.95,15.80,15.85,-,0.1,15.85,42,15.90,7,0.00,
327,2408,南亞科,"14,619,873","6,496","1,150,253,037",78.00,79.40,77.20,79.40,+,1.0,79.30,3,79.40,61,5.69,
328,2409,友達,"142,967,478","15,815","1,960,145,904",13.65,13.90,13.50,13.90,+,0.1,13.85,588,13.90,"3,151",3.60,
330,2413,環科,"851,025",260,"17,068,742",20.50,20.50,19.80,19.95,-,0.55,19.90,10,19.95,2,0.00,
331,2414,精技,"102,340",63,"2,039,679",19.90,20.00,19.85,19.90,-,0.1,19.90,48,20.00,3,12.52,
332,2415,錩新,"33,947",35,"870,086",25.50,25.70,25.50,25.70,+,0.1,25.55,9,25.70,46,14.12,
333,2417,圓剛,"2,577,334","1,023","39,007,806",15.15,15.35,14.95,15.15,-,0.2,15.15,40,15.20,4,0.00,
334,2419,仲琦,"1,510,763",583,"31,644,442",21.00,21.05,20.85,20.95,-,0.1,20.95,50,21.00,15,11.08,
335,2420,新巨,"171,067",154,"5,880,271",34.55,34.60,34.30,34.55,,0.0,34.45,3,34.55,23,9.87,
337,2423,固緯,"44,250",29,"1,036,424",23.45,23.55,23.30,23.50,,0.0,23.30,4,23.50,5,11.08,
338,2424,隴華,"9,000",8,"314,200",35.00,35.00,34.20,34.20,+,0.2,34.20,1,34.80,1,0.00,
342,2428,興勤,"202,023",173,"17,114,091",84.70,85.80,83.70,85.60,+,0.5,85.00,10,85.60,3,10.31,
343,2429,銘旺科,"10,000",7,"132,650",13.35,13.35,13.20,13.20,-,0.4,13.20,1,13.35,2,0.00,
344,2430,燦坤,"95,608",70,"2,270,919",23.90,23.90,23.65,23.90,,0.0,23.80,5,23.90,1,13.74,
346,2433,互盛電,"23,500",22,"1,062,749",45.40,45.40,45.15,45.20,-,0.2,45.15,4,45.30,5,12.22,
347,2434,統懋,"1,270,723",511,"13,252,683",10.00,11.00,9.68,11.00,+,1.0,11.00,37,--,0,0.00,
349,2438,翔耀,"16,247",11,"111,047",6.84,6.85,6.81,6.85,+,0.01,6.85,9,6.92,1,0.00,
352,2441,超豐,"2,554,051","1,634","143,212,473",55.40,56.70,54.80,56.70,+,1.1,56.70,2,56.80,77,13.13,
353,2442,新美齊,"276,924",76,"2,222,812",8.03,8.05,8.00,8.05,+,0.02,8.03,8,8.05,6,0.00,
354,2443,新利虹,"148,796",61,"914,446",6.20,6.24,6.12,6.18,+,0.01,6.14,1,6.18,6,0.00,
357,2449,京元電子,"3,942,645","2,272","118,226,813",29.95,30.15,29.75,30.15,,0.0,30.05,11,30.15,76,14.78,
358,2450,神腦,"34,001",22,"1,745,651",51.30,51.50,51.30,51.30,-,0.2,51.30,1,51.50,29,14.41,
359,2451,創見,"494,688",370,"41,693,164",84.60,84.60,84.00,84.30,-,0.4,84.30,61,84.50,5,11.79,
366,2459,敦吉,"111,072",76,"4,716,359",42.55,42.65,42.20,42.55,-,0.1,42.55,1,42.60,1,10.33,
367,2460,建通,"909,944",416,"15,865,359",17.40,17.85,17.10,17.70,+,0.2,17.65,26,17.70,20,0.00,
368,2461,光群雷,"811,020",293,"13,287,777",16.40,16.50,16.25,16.45,+,0.05,16.45,102,16.50,53,10.35,
371,2465,麗臺,"2,625,372","1,401","61,290,882",22.75,23.90,22.75,23.50,+,0.5,23.40,5,23.50,147,0.00,
373,2467,志聖,"796,995",409,"22,356,960",28.00,28.20,27.95,28.05,-,0.2,28.05,7,28.10,39,11.84,
375,2471,資通,"21,000",19,"320,500",15.25,15.35,15.15,15.30,+,0.05,15.25,3,15.30,3,14.71,
377,2474,可成,"5,223,535","3,097","1,731,543,655",321.00,336.00,320.50,334.00,+,10.5,334.00,51,334.50,110,11.14,
378,2475,華映,"3,657,810",304,"8,829,490",2.41,2.44,2.41,2.41,-,0.05,2.41,100,2.42,62,4.16,
379,2476,鉅祥,"183,796",100,"4,836,484",26.50,26.50,26.25,26.30,-,0.3,26.30,13,26.40,14,10.91,
382,2480,敦陽科,"156,395",97,"5,683,990",36.25,36.50,36.20,36.45,+,0.05,36.45,2,36.50,8,12.93,
384,2482,連宇,"103,348",49,"1,252,677",12.15,12.20,12.05,12.20,-,0.05,12.20,2,12.35,10,0.00,
385,2483,百容,"167,000",97,"3,877,400",23.05,23.50,23.00,23.50,+,0.4,23.45,10,23.50,46,13.91,
388,2486,一詮,"1,082,487",357,"12,373,374",11.45,11.65,11.30,11.35,-,0.2,11.35,2,11.40,2,0.00,
389,2488,漢平,"634,005",112,"18,486,500",28.40,28.80,28.25,28.80,+,0.2,28.45,2,28.80,3,7.93,
390,2489,瑞軒,"4,050,850","1,895","70,213,664",17.25,17.50,17.10,17.45,+,0.1,17.40,32,17.45,59,0.00,
391,2491,吉祥全,"14,802",12,"97,648",6.63,6.63,6.56,6.56,-,0.04,6.56,4,6.65,1,11.31,
393,2493,揚博,"64,004",46,"1,707,954",26.70,26.75,26.60,26.70,-,0.1,26.70,2,26.75,1,11.46,
396,2497,怡利電,"20,000",20,"578,900",28.80,29.00,28.80,28.95,-,0.25,28.90,30,28.95,1,0.00,
397,2498,宏達電,"20,613,619","11,006","1,505,704,270",73.70,75.00,71.00,71.00,-,0.4,71.00,314,71.10,1,0.00,
398,2499,東貝,"1,577,774",585,"18,586,020",11.85,11.85,11.70,11.80,-,0.1,11.80,5,11.85,145,0.00,
399,2501,國建,"625,417",320,"10,284,052",16.60,16.60,16.35,16.55,+,0.1,16.45,5,16.55,97,9.40,
400,2504,國產,"1,606,734",524,"15,392,569",9.66,9.67,9.51,9.61,-,0.09,9.60,16,9.61,12,0.00,
402,2506,太設,"794,062",139,"9,777,406",12.50,12.55,12.20,12.30,-,0.4,12.25,12,12.30,7,0.00,
403,2509,全坤建,"57,027",30,"1,215,922",21.30,21.50,21.25,21.30,-,0.15,21.25,10,21.30,11,0.00,
404,2511,太子,"1,446,870",397,"18,111,269",12.60,12.60,12.45,12.60,,0.0,12.55,65,12.60,118,11.25,
405,2514,龍邦,"6,996,269",312,"104,641,149",14.85,14.85,14.65,14.70,-,0.1,14.65,56,14.70,105,6.39,
407,2516,新建,"406,367",95,"2,837,618",6.99,7.02,6.93,7.00,-,0.02,7.00,15,7.01,19,0.00,
409,2524,京城,"174,200",68,"4,005,530",22.90,23.10,22.85,22.95,-,0.1,22.90,13,23.00,10,11.25,
410,2527,宏璟,"297,001",167,"7,496,125",24.85,25.90,24.85,25.65,+,0.7,25.50,19,25.65,7,0.00,
412,2530,華建,"90,426",45,"1,366,160",15.20,15.20,15.05,15.10,-,0.1,15.05,14,15.10,10,0.00,
413,2534,宏盛,"4,549,802","1,598","121,664,552",26.35,27.10,26.10,27.10,+,0.75,27.00,15,27.10,46,6.83,
414,2535,達欣工,"234,682",127,"4,287,761",18.30,18.35,18.20,18.35,-,0.05,18.30,29,18.35,17,6.87,
415,2536,宏普,"163,099",78,"3,648,227",22.50,22.60,22.10,22.60,+,0.1,22.55,4,22.60,28,0.00,
416,2537,聯上發,"180,254",68,"1,467,456",8.12,8.16,8.12,8.16,,0.0,8.15,6,8.16,74,0.00,
418,2539,櫻花建,"26,200",18,"743,350",28.40,28.50,28.30,28.35,-,0.05,28.35,41,28.45,15,7.46,
422,2545,皇翔,"300,500",107,"9,327,574",31.15,31.20,31.00,31.00,-,0.15,31.00,23,31.20,1,0.00,
423,2546,根基,"140,111",90,"3,152,466",22.45,22.80,22.40,22.75,+,0.15,22.60,27,22.75,2,9.06,
424,2547,日勝生,"395,086",154,"4,792,483",12.20,12.20,12.05,12.15,-,0.15,12.15,2,12.20,49,0.00,
425,2548,華固,"1,512,370","1,128","108,241,208",70.80,72.70,69.80,72.60,+,1.7,72.40,1,72.60,15,5.87,
426,2597,潤弘,"28,000",25,"1,055,200",38.00,38.00,37.60,37.90,,0.0,37.60,28,37.90,5,9.82,
428,2603,長榮,"10,457,864","2,707","179,719,786",17.10,17.35,17.00,17.25,+,0.05,17.20,274,17.25,83,10.52,
433,2609,陽明,"3,172,067",745,"36,637,055",11.60,11.60,11.50,11.60,,0.0,11.55,163,11.60,668,0.00,
434,2610,華航,"11,291,996","2,096","136,883,192",12.25,12.25,12.05,12.10,-,0.15,12.05,557,12.10,45,0.00,
435,2611,志信,"40,133",27,"283,034",7.06,7.11,7.04,7.11,+,0.03,7.06,1,7.12,5,0.00,
436,2612,中航,"257,580",125,"7,728,069",29.80,30.15,29.70,30.05,,0.0,30.00,19,30.05,11,0.00,
438,2614,東森,"4,655,107","1,015","50,973,783",11.10,11.25,10.65,11.20,+,0.05,11.20,40,11.25,110,0.00,
440,2616,山隆,"94,083",73,"3,049,764",32.50,32.60,32.35,32.50,,0.0,32.50,19,32.60,12,7.16,
445,2636,台驊投控,"410,534",221,"9,523,185",23.20,23.35,23.00,23.25,-,0.05,23.20,11,23.30,19,12.99,
451,2705,六福,"412,648",152,"3,322,154",8.05,8.10,8.02,8.08,-,0.02,8.03,13,8.08,1,0.00,
461,2801,彰銀,"5,928,005","1,524","101,254,041",17.00,17.25,16.95,17.10,+,0.05,17.10,423,17.15,173,13.26,
462,2809,京城銀,"942,547",534,"39,185,649",41.40,41.90,41.10,41.75,+,0.3,41.70,1,41.80,112,8.72,
463,2812,台中銀,"5,782,472","1,965","58,500,401",10.10,10.20,10.05,10.10,-,0.05,10.10,"1,121",10.15,1,9.18,
464,2816,旺旺保,"387,712",185,"7,532,776",19.70,19.70,19.35,19.45,-,0.25,19.45,14,19.50,1,7.34,
466,2823,中壽,"6,916,513","2,371","207,593,940",30.05,30.20,29.90,30.00,-,0.2,30.00,287,30.15,161,14.22,
467,2832,台產,"99,746",57,"2,077,762",20.95,20.95,20.75,20.90,-,0.1,20.85,15,20.95,12,9.21,
468,2834,臺企銀,"12,128,201","1,791","104,584,842",8.64,8.68,8.58,8.64,-,0.03,8.64,307,8.66,5,9.00,
469,2836,高雄銀,"604,215",224,"5,875,257",9.72,9.76,9.71,9.72,-,0.1,9.72,36,9.74,52,14.29,
470,2838,聯邦銀,"511,990",140,"4,868,819",9.53,9.53,9.49,9.52,-,0.04,9.52,15,9.53,6,9.43,
471,2838A,聯邦銀甲特,"86,000",48,"4,302,500",50.00,50.10,50.00,50.10,+,0.1,50.00,224,50.10,269,0.00,
473,2845,遠東銀,"2,985,511",839,"28,859,477",9.71,9.71,9.64,9.66,-,0.08,9.66,412,9.69,11,9.47,
474,2849,安泰銀,"21,000",16,"282,550",13.50,13.50,13.45,13.45,-,0.05,13.45,5,13.50,37,11.40,
475,2850,新產,"170,446",110,"5,030,322",29.60,29.60,29.45,29.60,-,0.1,29.55,4,29.60,25,8.27,
476,2851,中再保,"220,246",91,"3,907,566",17.80,17.80,17.65,17.75,-,0.1,17.75,9,17.80,24,7.13,
477,2852,第一保,"173,004",55,"2,474,556",14.35,14.40,14.25,14.35,-,0.1,14.30,4,14.35,8,7.93,
478,2855,統一證,"1,382,533",336,"21,143,974",15.30,15.40,15.20,15.40,,0.0,15.35,1,15.40,76,13.75,
480,2867,三商壽,"1,819,892",588,"29,144,872",16.05,16.10,15.95,16.00,-,0.15,16.00,321,16.05,1,9.94,
481,2880,華南金,"23,551,703","3,154","407,000,664",17.20,17.40,17.10,17.40,+,0.1,17.35,4,17.40,941,14.38,
482,2881,富邦金,"15,523,028","4,861","831,799,712",52.70,54.20,52.70,54.20,+,1.1,54.10,7,54.20,60,11.22,
483,2881A,富邦特,"66,248",33,"4,249,272",64.10,64.20,64.10,64.20,,0.0,64.10,90,64.20,116,0.00,
484,2882,國泰金,"17,696,736","4,477","964,780,493",54.00,55.00,53.80,54.60,+,0.2,54.60,95,54.80,59,12.88,
485,2882A,國泰特,"349,705",87,"22,034,800",63.00,63.10,62.90,63.00,-,0.1,63.00,1,63.20,84,0.00,
486,2883,開發金,"39,535,320","6,617","419,491,280",10.65,10.70,10.50,10.70,,0.0,10.65,"1,238",10.70,"3,611",14.86,
487,2884,玉山金,"15,806,702","3,679","303,890,878",19.20,19.35,19.15,19.20,-,0.1,19.20,"2,902",19.30,18,14.01,
488,2885,元大金,"20,187,318","5,474","281,401,315",14.00,14.00,13.85,14.00,-,0.05,13.95,742,14.00,"1,020",10.61,
489,2886,兆豐金,"13,907,844","2,673","351,506,344",25.30,25.40,25.15,25.30,-,0.1,25.30,78,25.35,332,12.78,
490,2887,台新金,"19,357,457","5,726","282,515,319",14.50,14.70,14.45,14.70,+,0.1,14.65,508,14.70,138,13.24,
491,2887E,台新戊特,"150,055",34,"7,988,420",53.20,53.30,53.20,53.20,,0.0,53.20,79,53.30,102,0.00,
492,2888,新光金,"42,301,232","4,807","449,090,716",10.65,10.70,10.50,10.70,,0.0,10.65,468,10.70,"4,975",7.87,
493,2889,國票金,"3,730,833","1,038","37,086,504",9.94,9.99,9.89,9.98,-,0.02,9.98,66,9.99,170,13.86,
494,2890,永豐金,"18,000,232","2,953","179,772,880",9.97,10.05,9.94,10.05,+,0.06,10.00,157,10.05,"3,441",13.58,
495,2891,中信金,"48,175,255","8,462","1,016,536,141",21.00,21.30,20.90,21.30,+,0.2,21.20,19,21.30,"2,849",11.64,
496,2891B,中信金乙特,"290,399",226,"17,698,139",61.00,61.00,60.90,61.00,,0.0,60.90,493,61.00,129,0.00,
497,2892,第一金,"12,682,380","3,828","254,451,432",20.00,20.15,19.95,20.15,+,0.1,20.10,10,20.15,95,13.08,
501,2904,匯僑,"41,787",30,"790,369",18.80,19.00,18.80,18.90,+,0.1,18.80,3,18.85,3,14.43,
502,2905,三商,"841,902",383,"21,125,534",25.25,25.35,24.95,24.95,-,0.45,24.95,20,25.00,1,8.75,
506,2911,麗嬰房,"648,655",241,"7,837,092",12.15,12.25,12.00,12.05,-,0.2,12.05,23,12.10,30,0.00,
509,2915,潤泰全,"2,338,193","1,021","120,026,493",51.40,51.90,50.80,51.50,-,0.1,51.50,80,51.60,1,6.73,
511,2929,淘帝-KY,"438,440",364,"47,082,460",107.00,109.00,105.50,109.00,+,1.5,108.50,11,109.00,8,9.15,
512,2936,客思達-KY,"18,000",15,"557,200",31.00,31.30,30.85,31.00,-,0.15,31.00,1,31.30,2,9.97,
516,3004,豐達科,"66,006",58,"3,312,001",50.00,50.40,50.00,50.10,-,0.2,50.00,22,50.30,1,13.58,
517,3005,神基,"3,440,109","2,223","148,980,558",42.40,43.90,42.10,43.45,+,0.95,43.45,1,43.50,5,10.44,
518,3006,晶豪科,"2,516,088","1,373","111,477,819",44.10,44.90,43.50,44.65,,0.0,44.65,5,44.70,24,14.22,
520,3010,華立,"233,389",189,"13,358,849",57.40,57.50,56.90,57.20,-,0.3,57.20,11,57.30,1,10.81,
521,3011,今皓,"772,004",152,"5,652,968",7.19,7.45,7.16,7.23,+,0.03,7.23,3,7.28,1,0.00,
522,3013,晟銘電,"595,200",296,"12,004,290",20.05,20.30,20.00,20.20,+,0.1,20.20,13,20.25,21,12.55,
